Attack_id,Attack_tactics,Model,Harden,Detect,Isolate,Deceive,Evict,Restore,Total,Artifact,Model_missing,Harden_missing,Detect_missing,Isolate_missing,Deceive_missing,Evict_missing,Restore_missing,Model_covered,Harden_covered,Detect_covered,Isolate_covered,Deceive_covered,Evict_covered,Restore_covered,Artifact_missing
T1203,{'execution'},,0.0,1.0,,,,,0.5,1.0,,"['StackFrameCanaryValidation', 'SegmentAddressOffsetRandomization', 'ProcessSegmentExecutionPrevention']",[],,,,,,[],"['ProcessCodeSegmentVerification', 'ShadowStackComparisons', 'OperatingSystemMonitoring']",,,,,[]
T1204,{'execution'},,0.0,0.8823529411764706,1.0,0.0,1.0,1.0,0.8,1.0,,"['FileEncryption', 'LocalFilePermissions']","['HomoglyphDetection', 'PerHostDownload-UploadRatioAnalysis']",[],['DecoyFile'],[],[],,[],"['FileContentAnalysis', 'NetworkTrafficSignatureAnalysis', 'DynamicAnalysis', 'FileIntegrityMonitoring', 'IdentifierReputationAnalysis', 'FileHashing', 'NetworkTrafficCommunityDeviation', 'UserGeolocationLogonPatternAnalysis', 'ProtocolMetadataAnomalyDetection', 'RemoteTerminalSessionDetection', 'URLAnalysis', 'IdentifierActivityAnalysis', 'EmulatedFileAnalysis', 'Client-serverPayloadProfiling', 'RelayPatternAnalysis']","['NetworkTrafficFiltering', 'ExecutableAllowlisting', 'ExecutableDenylisting']",[],['FileEviction'],['RestoreFile'],[]
T1498,{'impact'},,,0.875,1.0,,,,0.8888888888888888,1.0,,,['PerHostDownload-UploadRatioAnalysis'],[],,,,,,"['InboundSessionVolumeAnalysis', 'NetworkTrafficCommunityDeviation', 'UserGeolocationLogonPatternAnalysis', 'RemoteTerminalSessionDetection', 'ProtocolMetadataAnomalyDetection', 'NetworkTrafficSignatureAnalysis', 'Client-serverPayloadProfiling']",['NetworkTrafficFiltering'],,,,[]
T1499,{'impact'},,,,,,,,,,,,,,,,,,,,,,,,
T1505,{'persistence'},0.6,0.3333333333333333,0.8888888888888888,0.5,0.0,1.0,1.0,0.7241379310344828,1.0,"['PhysicalLinkMapping', 'LogicalLinkMapping']","['FileEncryption', 'LocalFilePermissions']",['ProcessSelf-ModificationDetection'],"['Kernel-basedProcessIsolation', 'Hardware-basedProcessIsolation']",['DecoyFile'],[],[],"['SoftwareInventory', 'NetworkNodeInventory', 'AssetVulnerabilityEnumeration']",['SoftwareUpdate'],"['FileContentAnalysis', 'DynamicAnalysis', 'FileIntegrityMonitoring', 'SystemCallAnalysis', 'OperatingSystemMonitoring', 'FileHashing', 'ProcessSpawnAnalysis', 'EmulatedFileAnalysis']","['ExecutableAllowlisting', 'ExecutableDenylisting']",[],"['ProcessSuspension', 'FileEviction', 'ProcessTermination', 'HostShutdown']","['RestoreNetworkAccess', 'RestoreFile', 'RestoreSoftware']",[]
T1548,"{'defense-evasion', 'privilege-escalation'}",1.0,0.3333333333333333,1.0,0.5,0.0,1.0,1.0,0.7916666666666666,1.0,[],"['FileEncryption', 'LocalFilePermissions']",[],"['Hardware-basedProcessIsolation', 'Kernel-basedProcessIsolation']",['DecoyFile'],[],[],"['ConfigurationInventory', 'DataInventory', 'NetworkTrafficPolicyMapping', 'AccessModeling']",['SystemConfigurationPermissions'],"['FileContentAnalysis', 'DynamicAnalysis', 'FileIntegrityMonitoring', 'SystemCallAnalysis', 'OperatingSystemMonitoring', 'FileHashing', 'ProcessSpawnAnalysis', 'EmulatedFileAnalysis']","['ExecutableAllowlisting', 'ExecutableDenylisting']",[],['FileEviction'],"['RestoreDatabase', 'RestoreConfiguration', 'RestoreFile']",[]
T1550,"{'lateral-movement', 'defense-evasion'}",,1.0,0.7692307692307693,0.3333333333333333,0.0,1.0,1.0,0.7307692307692307,1.0,,[],"['ProcessSelf-ModificationDetection', 'PerHostDownload-UploadRatioAnalysis', 'SessionDurationAnalysis']","['Hardware-basedProcessIsolation', 'Kernel-basedProcessIsolation']","['DecoySessionToken', 'DecoyUserCredential']",[],[],,"['CredentialRotation', 'CredentialTransmissionScoping']","['CredentialCompromiseScopeAnalysis', 'AuthenticationEventThresholding', 'NetworkTrafficCommunityDeviation', 'UserGeolocationLogonPatternAnalysis', 'RemoteTerminalSessionDetection', 'ProtocolMetadataAnomalyDetection', 'NetworkTrafficSignatureAnalysis', 'ProcessSpawnAnalysis', 'Client-serverPayloadProfiling', 'ResourceAccessPatternAnalysis']",['NetworkTrafficFiltering'],[],"['ProcessSuspension', 'AuthenticationCacheInvalidation', 'CredentialRevocation', 'ProcessTermination', 'HostShutdown']",['ReissueCredential'],[]
T1553,{'defense-evasion'},1.0,,,,,,1.0,1.0,1.0,[],,,,,,[],['ConfigurationInventory'],,,,,,['RestoreConfiguration'],[]
T1556,"{'defense-evasion', 'credential-access', 'persistence'}",1.0,0.0,0.875,0.0,0.0,1.0,1.0,0.7,1.0,[],"['FileEncryption', 'LocalFilePermissions']",['ProcessSelf-ModificationDetection'],"['Hardware-basedProcessIsolation', 'Kernel-basedProcessIsolation']",['DecoyFile'],[],[],['ConfigurationInventory'],[],"['FileContentAnalysis', 'FileIntegrityMonitoring', 'DynamicAnalysis', 'OperatingSystemMonitoring', 'FileHashing', 'ProcessSpawnAnalysis', 'EmulatedFileAnalysis']",[],[],"['ProcessSuspension', 'FileEviction', 'ProcessTermination', 'HostShutdown']","['RestoreConfiguration', 'RestoreFile']",[]
T1562,{'defense-evasion'},1.0,0.3333333333333333,0.875,0.5,0.0,0.8,1.0,0.72,1.0,[],"['FileEncryption', 'LocalFilePermissions']",['ProcessSelf-ModificationDetection'],"['Kernel-basedProcessIsolation', 'Hardware-basedProcessIsolation']",['DecoyFile'],['RegistryKeyDeletion'],[],"['ConfigurationInventory', 'SystemVulnerabilityAssessment']",['ApplicationConfigurationHardening'],"['FileContentAnalysis', 'DynamicAnalysis', 'FileIntegrityMonitoring', 'OperatingSystemMonitoring', 'FileHashing', 'ProcessSpawnAnalysis', 'EmulatedFileAnalysis']","['ExecutableAllowlisting', 'ExecutableDenylisting']",[],"['ProcessSuspension', 'ProcessTermination', 'FileEviction', 'HostShutdown']","['RestoreConfiguration', 'RestoreFile']",[]
T1574,"{'defense-evasion', 'persistence', 'privilege-escalation'}",1.0,0.3333333333333333,0.8571428571428571,1.0,0.0,1.0,1.0,0.8,1.0,[],"['FileEncryption', 'LocalFilePermissions']",['SystemFileAnalysis'],[],['DecoyFile'],[],[],"['ConfigurationInventory', 'SoftwareInventory', 'AssetVulnerabilityEnumeration']",['SoftwareUpdate'],"['FileContentAnalysis', 'DynamicAnalysis', 'FileIntegrityMonitoring', 'OperatingSystemMonitoring', 'FileHashing', 'EmulatedFileAnalysis']","['ExecutableAllowlisting', 'ExecutableDenylisting']",[],['FileEviction'],"['RestoreConfiguration', 'RestoreSoftware', 'RestoreFile']",[]
